x_nd,t_nd,rho_nd,u_nd,mask
0.0,0.0,0.6779661,0.009626882,1
0.0,0.001669449,0.7627119,0.011982088,1
0.0,0.003338898,1.0,0.021655582,1
0.0,0.0050083473,1.0,0.022361234,1
0.0,0.006677796,1.0,0.040430322,1
0.0,0.008347246,1.0,0.061474018,1
0.0,0.010016695,1.0,0.09881532,1
0.0,0.011686143,1.0,0.12642457,1
0.0,0.013355592,1.0,0.1561462,1
0.0,0.015025042,1.0,0.15051669,1
0.0,0.016694492,0.9661017,0.1381171,1
0.0,0.01836394,0.88135594,0.11219084,1
0.0,0.02003339,0.9322034,0.11558499,1
0.0,0.021702837,0.84745765,0.085119575,1
0.0,0.023372287,0.84745765,0.088015944,1
0.0,0.025041737,0.9491525,0.14029087,1
0.0,0.026711185,0.91525424,0.099461176,1
0.0,0.028380634,0.84745765,0.07190877,1
0.0,0.030050084,0.84745765,0.076966345,1
0.0,0.031719532,0.84745765,0.079362266,1
0.0,0.033388983,1.0,0.15707347,1
0.0,0.03505843,1.0,0.202711,1
0.0,0.03672788,0.9491525,0.15108977,1
0.0,0.038397327,0.7966102,0.09179183,1
0.0,0.04006678,0.6779661,0.08133304,1
0.0,0.041736227,0.6779661,0.17337245,1
0.0,0.043405674,0.5254237,0.16196892,1
0.0,0.045075126,0.5084746,0.21989961,1
0.0,0.046744574,0.47457626,0.3242123,1
0.0,0.04841402,0.40677965,0.4834662,1
0.0,0.050083473,0.5084746,0.66655594,1
0.0,0.05175292,0.42372882,0.78909653,1
0.0,0.05342237,0.33898306,0.81048495,1
0.0,0.05509182,0.2542373,0.6418807,1
0.0,0.05676127,0.16949153,0.57192206,1
0.0,0.058430716,0.13559322,0.6384798,1
0.0,0.060100168,0.0,0.0,0
0.0,0.061769616,0.0,0.0,0
0.0,0.063439064,0.10169491,0.677517,1
0.0,0.065108515,0.33898306,0.54181796,1
0.0,0.06677797,0.33898306,0.4267715,1
0.0,0.06844741,0.33898306,0.35707486,1
0.0,0.07011686,0.40677965,0.42639136,1
0.0,0.07178631,0.33898306,0.31877768,1
0.0,0.07345576,0.33898306,0.29156333,1
0.0,0.07512521,0.4915254,0.4441526,1
0.0,0.076794654,0.33898306,0.35048714,1
0.0,0.078464106,0.33898306,0.35851416,1
0.0,0.08013356,0.23728813,0.21230862,1
0.0,0.081803,0.33898306,0.25476086,1
0.0,0.08347245,0.33898306,0.19589238,1
0.0,0.085141905,0.33898306,0.12835474,1
0.0,0.08681135,0.33898306,0.0434566,1
0.0,0.0884808,0.33898306,0.0065212576,1
0.0,0.09015025,0.33898306,0.0,1
0.0,0.091819696,0.3559322,0.018779788,1
0.0,0.09348915,0.5084746,0.10273103,1
0.0,0.0951586,0.5084746,0.06390611,1
0.0,0.09682804,0.5084746,0.03351048,1
0.0,0.098497495,0.5084746,0.020327725,1
0.0,0.10016695,0.5084746,0.010422203,1
0.0,0.10183639,0.5084746,0.010591969,1
0.0,0.10350584,0.5084746,0.0048346617,1
0.0,0.105175294,0.5084746,0.0029229408,1
0.0,0.10684474,0.62711865,0.011131592,1
0.0,0.10851419,0.6440678,0.007587059,1
0.0,0.11018364,0.5084746,0.007130204,1
0.0,0.111853085,0.6101695,0.006624594,1
0.0,0.11352254,0.6779661,0.00320527,1
0.0,0.11519199,0.6779661,0.006133747,1
0.0,0.11686143,0.6779661,0.0040633306,1
0.0,0.118530884,0.6779661,0.0032163418,1
0.0,0.120200336,0.6779661,0.003515279,1
0.0,0.12186978,0.6779661,0.00047054916,1
0.0,0.12353923,0.6779661,0.0024966784,1
0.0,0.12520868,0.6779661,0.0034156332,1
0.0,0.12687813,0.6779661,0.0013396811,1
0.0,0.12854758,0.6779661,4.982285e-05,1
0.0,0.13021703,0.6779661,0.004295837,1
0.0,0.13188648,0.6779661,0.0041408325,1
0.0,0.13355593,0.6779661,0.0024856068,1
0.0,0.13522537,0.6779661,0.0,1
0.0,0.13689482,0.6779661,0.0004816209,1
0.0,0.13856427,0.6779661,0.001478078,1
0.0,0.14023373,0.6779661,0.0,1
0.0,0.14190318,0.6779661,0.0014282551,1
0.0,0.14357261,0.6779661,0.0012012844,1
0.0,0.14524207,0.6779661,0.0018046944,1
0.0,0.14691152,0.6779661,0.0018102303,1
0.0,0.14858097,0.6779661,0.0012289637,1
0.0,0.15025042,0.6779661,0.00073627103,1
0.0,0.15191987,0.6779661,0.002391497,1
0.0,0.15358931,0.6779661,0.005735164,1
0.0,0.15525876,0.6779661,0.0073627103,1
0.0,0.15692821,0.6779661,0.0020870238,1
0.0,0.15859766,0.6779661,0.0024579274,1
0.0,0.16026711,0.6779661,0.0028841896,1
0.0,0.16193657,0.6779661,0.0017050487,1
0.0,0.163606,0.6779661,0.0018434456,1
0.0,0.16527545,0.6779661,0.024031222,1
0.0,0.1669449,0.62711865,0.068459295,1
0.0,0.16861436,0.62711865,0.043407224,1
0.0,0.17028381,0.6779661,0.074750885,1
0.0,0.17195326,0.6779661,0.09759743,1
0.0,0.1736227,0.6101695,0.0812051,1
0.0,0.17529215,0.5084746,0.0,1
0.0,0.1769616,0.5084746,0.0018379097,1
0.0,0.17863105,0.5084746,6.643047e-05,1
0.0,0.1803005,0.5084746,0.0,1
0.0,0.18196996,0.5084746,0.00095217006,1
0.0,0.18363939,0.5084746,0.0018305285,1
0.0,0.18530884,0.5084746,0.002266017,1
0.0,0.1869783,0.5084746,0.003565102,1
0.0,0.18864775,0.5084746,0.0039563035,1
0.0,0.1903172,0.5084746,0.00087097724,1
0.0,0.19198665,0.5084746,0.002893416,1
0.0,0.19365609,0.5084746,0.009625037,1
0.0,0.19532554,0.5084746,0.050553586,1
0.0,0.19699499,0.5762712,0.24365003,1
0.0,0.19866444,0.4915254,0.3638939,1
0.0,0.2003339,0.33898306,0.22212134,1
0.0,0.20200334,0.44067797,0.42108402,1
0.0,0.20367278,0.42372882,0.51570415,1
0.0,0.20534223,0.44067797,0.43986338,1
0.0,0.20701168,0.45762712,0.52252895,1
0.0,0.20868114,0.2881356,0.4723988,1
0.0,0.21035059,0.2881356,0.49346116,1
0.0,0.21202004,0.33898306,0.5547055,1
0.0,0.21368948,0.18644068,0.5791529,1
0.0,0.21535893,0.13559322,0.62403125,1
0.0,0.21702838,0.13559322,0.6055968,1
0.0,0.21869783,0.3898305,0.63519084,1
0.0,0.22036728,0.3559322,0.69615966,1
0.0,0.22203673,0.37288135,0.7320034,1
0.0,0.22370617,0.2881356,0.8338457,1
0.0,0.22537562,0.16949153,0.6238264,1
0.0,0.22704507,0.3220339,0.5508601,1
0.0,0.22871453,0.33898306,0.47391498,1
0.0,0.23038398,0.30508474,0.08863547,1
0.0,0.23205343,0.33898306,0.0694752,1
0.0,0.23372287,0.4915254,0.34410983,1
0.0,0.23539232,0.5084746,0.36561117,1
0.0,0.23706177,0.44067797,0.21962935,1
0.0,0.23873122,0.5084746,0.3176336,1
0.0,0.24040067,0.42372882,0.19726306,1
0.0,0.24207012,0.33898306,0.0023361382,1
0.0,0.24373956,0.33898306,0.0,1
0.0,0.24540901,0.33898306,0.0,1
0.0,0.24707846,0.33898306,0.0,1
0.0,0.24874792,0.33898306,0.0,1
0.0,0.25041735,0.33898306,0.0,1
0.0,0.25208682,0.33898306,0.0,1
0.0,0.25375625,0.33898306,0.0,1
0.0,0.25542572,0.33898306,0.0,1
0.0,0.25709516,0.33898306,0.0,1
0.0,0.2587646,0.33898306,0.0,1
0.0,0.26043406,0.33898306,0.0,1
0.0,0.2621035,0.33898306,0.0,1
0.0,0.26377296,0.33898306,0.0,1
0.0,0.2654424,0.33898306,0.0,1
0.0,0.26711187,0.33898306,0.0,1
0.0,0.2687813,0.33898306,0.0,1
0.0,0.27045074,0.33898306,0.0,1
0.0,0.2721202,0.33898306,0.0,1
0.0,0.27378964,0.33898306,0.0,1
0.0,0.2754591,0.33898306,0.0,1
0.0,0.27712855,0.33898306,0.0,1
0.0,0.27879798,0.33898306,0.0,1
0.0,0.28046745,0.33898306,0.005546944,1
